Life_Expectancy,GPD,küme,Yaşam Uzunluğu
85.63,48000,0,çok kısa ömürlü
84.85,34000,1,kısa ömürlü
84.43,32000,1,kısa ömürlü
84.19,18000,1,kısa ömürlü
84.09,93000,2,orta
84.07,67000,0,çok kısa ömürlü
83.87,34000,1,kısa ömürlü
83.86,78000,0,çok kısa ömürlü
83.8,29000,1,kısa ömürlü
83.47,33000,1,kısa ömürlü
83.46,106000,2,orta
83.46,41000,0,çok kısa ömürlü
83.42,56000,0,çok kısa ömürlü
83.07,53000,0,çok kısa ömürlü
83.01,75000,0,çok kısa ömürlü
82.73,58000,0,çok kısa ömürlü
82.72,55000,0,çok kısa ömürlü
82.58,105000,2,orta
82.55,24000,1,kısa ömürlü
82.52,87000,2,orta
82.36,125000,2,orta
82.3,57000,0,çok kısa ömürlü
82.27,49000,0,çok kısa ömürlü
82.25,47000,0,çok kısa ömürlü
82.12,52000,0,çok kısa ömürlü
82.09,68000,0,çok kısa ömürlü
82.08,50000,0,çok kısa ömürlü
82.03,20000,1,kısa ömürlü
81.9,34000,1,kısa ömürlü
81.82,32000,1,kısa ömürlü
81.78,28000,1,kısa ömürlü
81.54,48000,0,çok kısa ömürlü
81.45,45000,0,çok kısa ömürlü
81.42,30000,1,kısa ömürlü
81.36,15000,1,kısa ömürlü
81.29,11000,1,kısa ömürlü
81.0,13000,1,kısa ömürlü
80.6,41000,0,çok kısa ömürlü
80.25,25000,1,kısa ömürlü
79.78,17000,1,kısa ömürlü
79.78,6000,1,kısa ömürlü
79.46,76000,0,çok kısa ömürlü
79.31,28000,1,kısa ömürlü
78.98,30000,1,kısa ömürlü
78.92,33000,1,kısa ömürlü
78.81,17000,1,kısa ömürlü
78.75,17000,1,kısa ömürlü
78.49,20000,1,kısa ömürlü
78.29,20000,1,kısa ömürlü
78.26,11000,1,kısa ömürlü
78.04,7000,1,kısa ömürlü
78.02,12000,1,kısa ömürlü
77.98,4000,1,kısa ömürlü
77.95,6000,1,kısa ömürlü
77.94,6000,1,kısa ömürlü
77.91,6000,1,kısa ömürlü
77.85,6000,1,kısa ömürlü
